"id","series_id","series_number","accepted_by","image_data","created_at","updated_at","requested_by"
"019bbd13-4f62-71c6-8c91-a415d456dd09","019bbc7a-b0e5-73e2-8e2d-c8306ecae208","7","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/aljcnNFB0688umFag581fNd4M6ggCiZcpaf2eXdi.jpg","2026-01-14 15:15:17","2026-01-14 15:15:17","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd13-55a2-7074-b1f8-c8977c5d0c2e","019bbc7a-b0e5-73e2-8e2d-c8306ecae208","8","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/LiMr412MEMxJIAmgBrropE0OsaXHMfFqiOC9azy8.jpg","2026-01-14 15:15:19","2026-01-14 15:15:19","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd13-5c57-735f-98af-18a89a89eb02","019bbc7a-b0e5-73e2-8e2d-c8306ecae208","9","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/wPMVq0eJLOrOLYXu9tQAqwMdDhld3EePGuwouVb5.jpg","2026-01-14 15:15:21","2026-01-14 15:15:21","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd13-6269-73d9-b456-35ad69d5521e","019bbc7a-b0e5-73e2-8e2d-c8306ecae208","10","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/YjYh1Klt7KwXPHy51Z8if46vY0MaOXHJxbOqSrSY.jpg","2026-01-14 15:15:22","2026-01-14 15:15:22","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd17-aab3-72dc-8bdd-2f20f7dcc5b0","019bbd17-a643-73c0-988c-a72b4d1d8ae5","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/U0vFvPolXRqAtbBaCZqcFkPGa7JDNnvpYJurqVMo.jpg","2026-01-14 15:20:03","2026-01-14 15:20:03","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd17-b149-73e6-ae79-74a05ce2e1e1","019bbd17-a643-73c0-988c-a72b4d1d8ae5","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/x9knHKjTaGr7koNE4qVTwmt5frOVygU5fVglmyyl.jpg","2026-01-14 15:20:05","2026-01-14 15:20:05","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd17-b8f0-704c-b6cd-3aa6b3021613","019bbd17-a643-73c0-988c-a72b4d1d8ae5","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/qNf90tu3DYQogMKaNZltxRgG9sdcsJH3Uci4jjrn.jpg","2026-01-14 15:20:07","2026-01-14 15:20:07","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd17-bd25-7251-8c75-753594aa3007","019bbd17-a643-73c0-988c-a72b4d1d8ae5","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/iUc7Rf1ndv7a6AfLXvwjjAsVdEctUqvHNp0ZmcjM.jpg","2026-01-14 15:20:08","2026-01-14 15:20:08","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd1c-1f55-71bd-8c4b-e09fb2a3c41c","019bbd1c-1b01-7359-b96b-1fc7c151a945","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/8zIY9FsXaOeXGmDviQsDp4RX0wBc4naQXSMwPwrT.jpg","2026-01-14 15:24:55","2026-01-14 15:24:55","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd1c-2629-7359-9d2e-60638b626c44","019bbd1c-1b01-7359-b96b-1fc7c151a945","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/tlp5cogxROXP4JoEgNNeIH5j7HgjZ1zxtfTGcfkV.jpg","2026-01-14 15:24:57","2026-01-14 15:24:57","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd1c-2b34-72d8-b43a-907d48c36cd3","019bbd1c-1b01-7359-b96b-1fc7c151a945","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/4vy0nrFJ4D5gsGBudMoZkhhltP2psJDVLZPDsKU3.jpg","2026-01-14 15:24:58","2026-01-14 15:24:58","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd1c-2fb6-7143-878c-06d576399478","019bbd1c-1b01-7359-b96b-1fc7c151a945","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/C8yfKuHN1D4Z6GdroW1ODrKXYhugLprzTgvHNAIH.jpg","2026-01-14 15:24:59","2026-01-14 15:24:59","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd1f-8bfb-7142-89ac-9dc14c542a8a","019bbd1f-8673-7272-9b12-167fcd594007","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/7XLVElbPXMBaZIxCgsZOvuMS6bdY9c8pQkxWMhzt.jpg","2026-01-14 15:28:39","2026-01-14 15:28:39","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd1f-92e6-715d-a9ac-3bb221f19a0c","019bbd1f-8673-7272-9b12-167fcd594007","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/q4THDc7knRX3g0gUZtO06SFYOea9rwMeSs1Q58j2.jpg","2026-01-14 15:28:41","2026-01-14 15:28:41","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd1f-98d1-70a6-8c2b-562b28b3a436","019bbd1f-8673-7272-9b12-167fcd594007","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/G9AjF8UeJtDQX7st8xatnk9wpbCL9UAprOXtYWFd.jpg","2026-01-14 15:28:43","2026-01-14 15:28:43","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd1f-9e7e-7226-8ea5-ede0992cd32f","019bbd1f-8673-7272-9b12-167fcd594007","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/YT5Kdlbap7W64tZfwIfZ2brn7Rxp6ZgVpnFYbNVM.jpg","2026-01-14 15:28:44","2026-01-14 15:28:44","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd21-7314-71cf-8014-31e6e952b4f2","019bbd21-6ca5-7296-abe1-d540d102fff4","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/Cl1zM8vGUvbUnlIg6pMfpndG7OlJskQ3jsFAxEv4.jpg","2026-01-14 15:30:44","2026-01-14 15:30:44","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd21-7a40-70f4-b6b1-bdfad173fedc","019bbd21-6ca5-7296-abe1-d540d102fff4","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/rpaqQ3GgGrMBJQMfycHA4lbuofjwc5nHKmZr2f99.jpg","2026-01-14 15:30:46","2026-01-14 15:30:46","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd21-80ff-724b-856e-86f9c6b47e98","019bbd21-6ca5-7296-abe1-d540d102fff4","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/QabVgsJH563RcKMgNSJFmwibe23dvDaWwp7d8fSt.jpg","2026-01-14 15:30:48","2026-01-14 15:30:48","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd21-86f6-704a-a380-fa7fec32f932","019bbd21-6ca5-7296-abe1-d540d102fff4","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/4Wf0sQ77bHlLyCXvVMQ2NjKugkojyARiXTu15mNE.jpg","2026-01-14 15:30:49","2026-01-14 15:30:49","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd22-fe26-73bb-8cfb-894fd38f151e","019bbd22-f87a-71c5-807c-50c03d0ea411","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/N4FMEfRerbwZTYSEFEViej8hWiGDD0wj2HKOQU1z.jpg","2026-01-14 15:32:25","2026-01-14 15:32:25","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd23-047c-73e9-a21b-13c6125b9763","019bbd22-f87a-71c5-807c-50c03d0ea411","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/2adX4U3Pp0dluS6EB6JeNMLiQwx28Ybrw0A9kBDQ.jpg","2026-01-14 15:32:27","2026-01-14 15:32:27","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd23-0a8c-719a-9e8b-8bf052c9922e","019bbd22-f87a-71c5-807c-50c03d0ea411","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/58g17KaAvolsD3DgviQSvq6yy2T9obYEx4maIvmg.jpg","2026-01-14 15:32:28","2026-01-14 15:32:28","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd23-105a-7207-9461-424e66e4d8ed","019bbd22-f87a-71c5-807c-50c03d0ea411","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/1NStMywwGE9TKLyRVGNsT3Zp5qJ3W1syJk6VTNSB.jpg","2026-01-14 15:32:30","2026-01-14 15:32:30","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd23-cdfb-7398-9108-c33c057997d7","019bbd23-c6e1-7169-8b38-38a47e0b5a52","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/NKo7x5Bp6ba0FXPlDSAHY7L7Qso6D0xGDPLWTh08.jpg","2026-01-14 15:33:18","2026-01-14 15:33:18","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd25-93f4-712e-8986-632d4082d3ab","019bbd25-8e00-708e-afae-cfaecc945453","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/C6kS0yVGTpjCf8FktihPxyqMo1HMy4xuTdNVqGKG.jpg","2026-01-14 15:35:15","2026-01-14 15:35:15","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd25-9a14-72cb-a4df-9201fe3b7f49","019bbd25-8e00-708e-afae-cfaecc945453","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/W0WRfiRxvRszjnxWgc9y5CYF97FSQqyOUfWWKYk1.jpg","2026-01-14 15:35:16","2026-01-14 15:35:16","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd25-9f9a-7131-bcfe-ba66421874e1","019bbd25-8e00-708e-afae-cfaecc945453","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/XHm6Te9eli5zeQtIyOXwIVFif1bqdUXevt3RpTNP.jpg","2026-01-14 15:35:18","2026-01-14 15:35:18","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd25-a6bf-73cc-b149-eb51e3b5c6c6","019bbd25-8e00-708e-afae-cfaecc945453","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/yWujchSQ0CNwigKlafGM8iNOCg6T5JL1bQ4rj9xX.jpg","2026-01-14 15:35:19","2026-01-14 15:35:19","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd28-af6a-723b-a95e-3fcce13c5809","019bbd28-a9bd-735a-a7c1-250ff399033f","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/jBrhcgG7FDGN7PfA65KYPVBAf7cwHVbUdaaNSdT0.jpg","2026-01-14 15:38:38","2026-01-14 15:38:38","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd2a-3875-7026-8afd-6ac621c4eb69","019bbd2a-3333-7205-a482-ca928bb3aa03","1","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/E5qrULDAQwz1RO2tICgtyRzJ6skDSULhsvzBvNAk.jpg","2026-01-14 15:40:19","2026-01-14 15:40:19","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd2a-3e72-7001-9968-5ee401191003","019bbd2a-3333-7205-a482-ca928bb3aa03","2","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/7VCdTjL3fc5WrAm7tc6enzQ5mZwoTreisUK9cYBC.jpg","2026-01-14 15:40:20","2026-01-14 15:40:20","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd2a-4497-703a-8266-1d73689a695f","019bbd2a-3333-7205-a482-ca928bb3aa03","3","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/EwKJzmFtoh077m5jKJYmVoZDp35kBfR2wNDEmiS6.jpg","2026-01-14 15:40:22","2026-01-14 15:40:22","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
"019bbd2a-4be0-7196-aaa6-37e2440370c1","019bbd2a-3333-7205-a482-ca928bb3aa03","4","019bb7be-fec4-7390-a7e1-63b1a0c1067f","clippers/IK0laG1TfIRNrZYZpHlzAhp39N6ugcj4fltvPKvy.jpg","2026-01-14 15:40:24","2026-01-14 15:40:24","019bb7be-fec4-7390-a7e1-63b1a0c1067f"
